year,sex,age_group,activity,units,activity_long,Number of people,Average
2007,Female,"(15,25]",lschd,Combined,Playing with your children,1316,5.543980048159614
2007,Female,"(15,25]",lsocd,Combined,Playing with other peoples children,1316,0.5316477468180254
2007,Female,"(15,25]",lsvol,Combined,Volunteer/Charity work,1316,0.5773195876288659
2007,Female,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1316,0.31704781704781704
2007,Female,"(25,35]",lsemp,Combined,Paid employment,1106,24.640336289726534
2007,Female,"(25,35]",lscom,Combined,Travelling to/from paid employment,1106,2.8436158192090395
2007,Female,"(25,35]",lserr,Combined,Household errands,1106,5.2253575357535755
2007,Female,"(25,35]",lshw,Combined,Housework,1106,15.23917301414581
2007,Female,"(25,35]",lsod,Combined,Outdoor tasks,1106,2.432780847145488
2007,Female,"(25,35]",lschd,Combined,Playing with your children,1106,19.32212643678161
2007,Female,"(25,35]",lsocd,Combined,Playing with other peoples children,1106,0.8003533568904594
2007,Female,"(25,35]",lsvol,Combined,Volunteer/Charity work,1106,0.46366706396503776
2007,Female,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1106,0.37590799031476996
2007,Female,"(35,45]",lsemp,Combined,Paid employment,1320,23.5331541218638
2007,Female,"(35,45]",lscom,Combined,Travelling to/from paid employment,1320,2.40882800608828
2007,Female,"(35,45]",lserr,Combined,Household errands,1320,6.080839307048985
2007,Female,"(35,45]",lshw,Combined,Housework,1320,17.98031899326895
2007,Female,"(35,45]",lsod,Combined,Outdoor tasks,1320,3.3125189221919467
2007,Female,"(35,45]",lschd,Combined,Playing with your children,1320,17.106060606060606
2007,Female,"(35,45]",lsocd,Combined,Playing with other peoples children,1320,1.0493454179254784
2007,Female,"(35,45]",lsvol,Combined,Volunteer/Charity work,1320,1.3127490039840637
2007,Female,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1320,1.8459621993127149
2007,Female,"(45,55]",lsemp,Combined,Paid employment,1221,26.197447154471543
2007,Female,"(45,55]",lscom,Combined,Travelling to/from paid employment,1221,2.835858585858586
2007,Female,"(45,55]",lserr,Combined,Household errands,1221,5.674104817708334
2007,Female,"(45,55]",lshw,Combined,Housework,1221,16.99800514800515
2007,Female,"(45,55]",lsod,Combined,Outdoor tasks,1221,3.923583333333333
2007,Female,"(45,55]",lschd,Combined,Playing with your children,1221,4.714063053489196
2007,Female,"(45,55]",lsocd,Combined,Playing with other peoples children,1221,1.5433442147261516
2007,Female,"(45,55]",lsvol,Combined,Volunteer/Charity work,1221,1.1647143890093998
2007,Female,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1221,2.481888035126235
2007,Female,"(55,65]",lsemp,Combined,Paid employment,872,14.367087206728641
2007,Female,"(55,65]",lscom,Combined,Travelling to/from paid employment,872,1.5249309392265193
2007,Female,"(55,65]",lserr,Combined,Household errands,872,6.2640958605664485
2007,Female,"(55,65]",lshw,Combined,Housework,872,18.473203463203465
2007,Female,"(55,65]",lsod,Combined,Outdoor tasks,872,4.727704774419624
2007,Female,"(55,65]",lschd,Combined,Playing with your children,872,0.626452380952381
2007,Female,"(55,65]",lsocd,Combined,Playing with other peoples children,872,2.61643291257597
2007,Female,"(55,65]",lsvol,Combined,Volunteer/Charity work,872,1.702766057196437
2007,Female,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,872,4.048630783758263
2007,Female,"(65,75]",lsemp,Combined,Paid employment,597,1.516798418972332
2007,Female,"(65,75]",lscom,Combined,Travelling to/from paid employment,597,0.15823002754820936
2007,Female,"(65,75]",lserr,Combined,Household errands,597,6.418932038834951
2007,Female,"(65,75]",lshw,Combined,Housework,597,21.722296437659033
2007,Female,"(65,75]",lsod,Combined,Outdoor tasks,597,5.4319066147859925
2007,Female,"(65,75]",lschd,Combined,Playing with your children,597,0.3645129224652087
2007,Female,"(65,75]",lsocd,Combined,Playing with other peoples children,597,1.5355731225296443
2007,Female,"(65,75]",lsvol,Combined,Volunteer/Charity work,597,2.3708086785009863
2007,Female,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,597,3.024850894632207
2007,Female,"(75,Inf]",lsemp,Combined,Paid employment,511,0.32558139534883723
2007,Female,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,511,0.0121580547112462
2007,Female,"(75,Inf]",lserr,Combined,Household errands,511,4.937679083094556
2007,Female,"(75,Inf]",lshw,Combined,Housework,511,17.34463276836158
2007,Female,"(75,Inf]",lsod,Combined,Outdoor tasks,511,4.136921624173749
2007,Female,"(75,Inf]",lschd,Combined,Playing with your children,511,0.09411764705882353
2007,Female,"(75,Inf]",lsocd,Combined,Playing with other peoples children,511,0.19476744186046513
2007,Female,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,511,1.2761627906976745
2007,Female,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,511,1.7404692082111437
2008,Male,"(15,25]",lsemp,Combined,Paid employment,1271,27.42463848720801
2008,Male,"(15,25]",lscom,Combined,Travelling to/from paid employment,1271,3.0143205705705705
2008,Male,"(15,25]",lserr,Combined,Household errands,1271,1.94724111866969
2008,Male,"(15,25]",lshw,Combined,Housework,1271,3.581423804226919
2008,Male,"(15,25]",lsod,Combined,Outdoor tasks,1271,1.8450825825825825
2008,Male,"(15,25]",lschd,Combined,Playing with your children,1271,1.411723163841808
2008,Male,"(15,25]",lsocd,Combined,Playing with other peoples children,1271,0.2572992700729927
2008,Male,"(15,25]",lsvol,Combined,Volunteer/Charity work,1271,0.38112596192790604
2008,Male,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1271,0.20308641975308642
2008,Male,"(25,35]",lsemp,Combined,Paid employment,1028,42.685546875
2008,Male,"(25,35]",lscom,Combined,Travelling to/from paid employment,1028,4.558245149911817
2008,Male,"(25,35]",lserr,Combined,Household errands,1028,3.209271523178808
2008,Male,"(25,35]",lshw,Combined,Housework,1028,5.855852915578764
2008,Male,"(25,35]",lsod,Combined,Outdoor tasks,1028,3.753390201224847
2008,Male,"(25,35]",lschd,Combined,Playing with your children,1028,7.494452149791956
2008,Male,"(25,35]",lsocd,Combined,Playing with other peoples children,1028,0.24296296296296296
2008,Male,"(25,35]",lsvol,Combined,Volunteer/Charity work,1028,0.4513786312161497
2008,Male,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1028,0.2765772478887233
2008,Male,"(35,45]",lsemp,Combined,Paid employment,1165,42.44762443438914
2008,Male,"(35,45]",lscom,Combined,Travelling to/from paid employment,1165,4.4012924382716045
2008,Male,"(35,45]",lserr,Combined,Household errands,1165,3.8538035168195717
2008,Male,"(35,45]",lshw,Combined,Housework,1165,7.01038374717833
2008,Male,"(35,45]",lsod,Combined,Outdoor tasks,1165,5.0012952380952385
2008,Male,"(35,45]",lschd,Combined,Playing with your children,1165,9.239602803738318
2008,Male,"(35,45]",lsocd,Combined,Playing with other peoples children,1165,0.4230652831820147
2008,Male,"(35,45]",lsvol,Combined,Volunteer/Charity work,1165,0.7613118279569893
2008,Male,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1165,0.7614431164231961
2008,Male,"(45,55]",lsemp,Combined,Paid employment,1166,39.58794594594595
2008,Male,"(45,55]",lscom,Combined,Travelling to/from paid employment,1166,4.398445692883895
2008,Male,"(45,55]",lserr,Combined,Household errands,1166,3.956736035049288
2008,Male,"(45,55]",lshw,Combined,Housework,1166,6.773757707653246
2008,Male,"(45,55]",lsod,Combined,Outdoor tasks,1166,5.572420634920635
2008,Male,"(45,55]",lschd,Combined,Playing with your children,1166,4.411764705882353
2008,Male,"(45,55]",lsocd,Combined,Playing with other peoples children,1166,0.3754716981132076
2008,Male,"(45,55]",lsvol,Combined,Volunteer/Charity work,1166,0.883578431372549
2008,Male,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1166,1.6937106918238993
2008,Male,"(55,65]",lsemp,Combined,Paid employment,842,23.965401785714285
2008,Male,"(55,65]",lscom,Combined,Travelling to/from paid employment,842,2.8606339468302657
2008,Male,"(55,65]",lserr,Combined,Household errands,842,4.416172106824926
2008,Male,"(55,65]",lshw,Combined,Housework,842,7.054576603034753
2008,Male,"(55,65]",lsod,Combined,Outdoor tasks,842,6.974489795918367
2008,Male,"(55,65]",lschd,Combined,Playing with your children,842,0.9503205128205128
2008,Male,"(55,65]",lsocd,Combined,Playing with other peoples children,842,1.2325769854132902
2008,Male,"(55,65]",lsvol,Combined,Volunteer/Charity work,842,1.587719298245614
2008,Male,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,842,1.7430213464696223
2008,Male,"(65,75]",lsemp,Combined,Paid employment,547,4.552915766738661
2008,Male,"(65,75]",lscom,Combined,Travelling to/from paid employment,547,0.39265917602996253
2008,Male,"(65,75]",lserr,Combined,Household errands,547,5.174293785310734
2008,Male,"(65,75]",lshw,Combined,Housework,547,8.157446068197634
2008,Male,"(65,75]",lsod,Combined,Outdoor tasks,547,9.843810511756569
2008,Male,"(65,75]",lschd,Combined,Playing with your children,547,0.2533039647577093
2008,Male,"(65,75]",lsocd,Combined,Playing with other peoples children,547,0.8287179487179487
2008,Male,"(65,75]",lsvol,Combined,Volunteer/Charity work,547,2.23866090712743
2008,Male,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,547,1.5835164835164834
2008,Male,"(75,Inf]",lsemp,Combined,Paid employment,353,0.45588235294117646
2008,Male,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,353,0.05965909090909091
2008,Male,"(75,Inf]",lserr,Combined,Household errands,353,4.415559655596556
2008,Male,"(75,Inf]",lshw,Combined,Housework,353,8.606607142857143
2008,Male,"(75,Inf]",lsod,Combined,Outdoor tasks,353,8.129562043795621
2008,Male,"(75,Inf]",lschd,Combined,Playing with your children,353,0.3111111111111111
2008,Male,"(75,Inf]",lsocd,Combined,Playing with other peoples children,353,0.5955882352941176
2008,Male,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,353,1.2987654320987654
2008,Male,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,353,1.6858736059479553
2008,Female,"(15,25]",lsemp,Combined,Paid employment,1300,20.46376669925057
2008,Female,"(15,25]",lscom,Combined,Travelling to/from paid employment,1300,2.4380384360503644
2008,Female,"(15,25]",lserr,Combined,Household errands,1300,2.498846027035938
2008,Female,"(15,25]",lshw,Combined,Housework,1300,6.572238419177195
2008,Female,"(15,25]",lsod,Combined,Outdoor tasks,1300,1.0213082259663033
2008,Female,"(15,25]",lschd,Combined,Playing with your children,1300,4.894427244582043
2008,Female,"(15,25]",lsocd,Combined,Playing with other peoples children,1300,0.42352537722908096
2008,Female,"(15,25]",lsvol,Combined,Volunteer/Charity work,1300,0.43612825788751713
2008,Female,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1300,0.2077720207253886
2008,Female,"(25,35]",lsemp,Combined,Paid employment,1069,26.351070154577883
2008,Female,"(25,35]",lscom,Combined,Travelling to/from paid employment,1069,3.042684401451028
2008,Female,"(25,35]",lserr,Combined,Household errands,1069,5.0771422955974845
2008,Female,"(25,35]",lshw,Combined,Housework,1069,15.151532790065968
2008,Female,"(25,35]",lsod,Combined,Outdoor tasks,1069,2.2885839299920447
2008,Female,"(25,35]",lschd,Combined,Playing with your children,1069,19.49033374033374
2008,Female,"(25,35]",lsocd,Combined,Playing with other peoples children,1069,0.7051767676767676
2008,Female,"(25,35]",lsvol,Combined,Volunteer/Charity work,1069,0.579324894514768
2008,Female,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1069,0.5907051282051282
2008,Female,"(35,45]",lsemp,Combined,Paid employment,1277,24.29221298861188
2008,Female,"(35,45]",lscom,Combined,Travelling to/from paid employment,1277,2.6760554505356016
2008,Female,"(35,45]",lserr,Combined,Household errands,1277,5.927469135802469
2008,Female,"(35,45]",lshw,Combined,Housework,1277,18.123269581056466
2008,Female,"(35,45]",lsod,Combined,Outdoor tasks,1277,3.206124031007752
2008,Female,"(35,45]",lschd,Combined,Playing with your children,1277,17.916509433962265
2008,Female,"(35,45]",lsocd,Combined,Playing with other peoples children,1277,1.042540181691125
2008,Female,"(35,45]",lsvol,Combined,Volunteer/Charity work,1277,1.3170419651995906
2008,Female,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1277,1.434116809116809
2008,Female,"(45,55]",lsemp,Combined,Paid employment,1243,26.2529918699187
2008,Female,"(45,55]",lscom,Combined,Travelling to/from paid employment,1243,2.9879740518962077
2008,Female,"(45,55]",lserr,Combined,Household errands,1243,5.711522024983563
2008,Female,"(45,55]",lshw,Combined,Housework,1243,15.780998389694043
2008,Female,"(45,55]",lsod,Combined,Outdoor tasks,1243,3.547818241469816
2008,Female,"(45,55]",lschd,Combined,Playing with your children,1243,4.6676295518207285
2008,Female,"(45,55]",lsocd,Combined,Playing with other peoples children,1243,1.3446265938069217
2008,Female,"(45,55]",lsvol,Combined,Volunteer/Charity work,1243,1.1275346851654215
2008,Female,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1243,2.195227765726681
2008,Female,"(55,65]",lsemp,Combined,Paid employment,901,14.346525945470537
2008,Female,"(55,65]",lscom,Combined,Travelling to/from paid employment,901,1.4436507936507936
2008,Female,"(55,65]",lserr,Combined,Household errands,901,5.68562091503268
2008,Female,"(55,65]",lshw,Combined,Housework,901,17.775032092426187
2008,Female,"(55,65]",lsod,Combined,Outdoor tasks,901,4.743671434763763
2008,Female,"(55,65]",lschd,Combined,Playing with your children,901,0.6479076479076479
2008,Female,"(55,65]",lsocd,Combined,Playing with other peoples children,901,2.9573863636363638
2008,Female,"(55,65]",lsvol,Combined,Volunteer/Charity work,901,1.5607226107226106
2008,Female,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,901,3.9941397093295827
2008,Female,"(65,75]",lsemp,Combined,Paid employment,609,1.5912698412698412
2008,Female,"(65,75]",lscom,Combined,Travelling to/from paid employment,609,0.1619718309859155
2008,Female,"(65,75]",lserr,Combined,Household errands,609,6.5315944881889765
2008,Female,"(65,75]",lshw,Combined,Housework,609,21.639113680154143
2008,Female,"(65,75]",lsod,Combined,Outdoor tasks,609,5.539947609692207
2008,Female,"(65,75]",lschd,Combined,Playing with your children,609,0.2539235412474849
2008,Female,"(65,75]",lsocd,Combined,Playing with other peoples children,609,1.3316733067729083
2008,Female,"(65,75]",lsvol,Combined,Volunteer/Charity work,609,2.3932806324110674
2008,Female,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,609,2.7934560327198366
2008,Female,"(75,Inf]",lsemp,Combined,Paid employment,521,0.06
2008,Female,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,521,0.003003003003003003
2008,Female,"(75,Inf]",lserr,Combined,Household errands,521,4.79159420289855
2008,Female,"(75,Inf]",lshw,Combined,Housework,521,19.01634349030471
2008,Female,"(75,Inf]",lsod,Combined,Outdoor tasks,521,3.8654214559386975
2008,Female,"(75,Inf]",lschd,Combined,Playing with your children,521,0.1714422158548233
2008,Female,"(75,Inf]",lsocd,Combined,Playing with other peoples children,521,0.36198662846227314
2008,Female,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,521,1.4220616570327553
2008,Female,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,521,1.9144927536231884
2009,Male,"(15,25]",lsemp,Combined,Paid employment,1386,24.972975321515467
2009,Male,"(15,25]",lscom,Combined,Travelling to/from paid employment,1386,2.8100213219616204
2009,Male,"(15,25]",lserr,Combined,Household errands,1386,1.874551971326165
2009,Male,"(15,25]",lshw,Combined,Housework,1386,3.5142932489451475
2009,Male,"(15,25]",lsod,Combined,Outdoor tasks,1386,1.959074858757062
2009,Male,"(15,25]",lschd,Combined,Playing with your children,1386,1.5077929465301478
2009,Male,"(15,25]",lsocd,Combined,Playing with other peoples children,1386,0.33352229780801207
2009,Male,"(15,25]",lsvol,Combined,Volunteer/Charity work,1386,0.4226998491704374
2009,Male,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1386,0.2940952380952381
2009,Male,"(25,35]",lsemp,Combined,Paid employment,1063,40.95113493064313
2009,Male,"(25,35]",lscom,Combined,Travelling to/from paid employment,1063,4.576273747841105
2009,Male,"(25,35]",lserr,Combined,Household errands,1063,3.42053264604811
2009,Male,"(25,35]",lshw,Combined,Housework,1063,6.342580916351408
2009,Male,"(25,35]",lsod,Combined,Outdoor tasks,1063,4.006041402619349
2009,Male,"(25,35]",lschd,Combined,Playing with your children,1063,7.360402684563758
2009,Male,"(25,35]",lsocd,Combined,Playing with other peoples children,1063,0.3862994350282486
2009,Male,"(25,35]",lsvol,Combined,Volunteer/Charity work,1063,0.6317393342709798
2009,Male,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1063,0.43357142857142855
2009,Male,"(35,45]",lsemp,Combined,Paid employment,1186,40.98683742440413
2009,Male,"(35,45]",lscom,Combined,Travelling to/from paid employment,1186,4.300286123032905
2009,Male,"(35,45]",lserr,Combined,Household errands,1186,3.5598665223665225
2009,Male,"(35,45]",lshw,Combined,Housework,1186,6.71045197740113
2009,Male,"(35,45]",lsod,Combined,Outdoor tasks,1186,5.027912706793383
2009,Male,"(35,45]",lschd,Combined,Playing with your children,1186,9.188485515218188
2009,Male,"(35,45]",lsocd,Combined,Playing with other peoples children,1186,0.4208532695374801
2009,Male,"(35,45]",lsvol,Combined,Volunteer/Charity work,1186,0.7610778443113773
2009,Male,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1186,0.6849273607748184
2009,Male,"(45,55]",lsemp,Combined,Paid employment,1196,38.98020942408377
2009,Male,"(45,55]",lscom,Combined,Travelling to/from paid employment,1196,4.33491895701198
2009,Male,"(45,55]",lserr,Combined,Household errands,1196,4.038782392616258
2009,Male,"(45,55]",lshw,Combined,Housework,1196,7.34413096482062
2009,Male,"(45,55]",lsod,Combined,Outdoor tasks,1196,5.477312390924957
2009,Male,"(45,55]",lschd,Combined,Playing with your children,1196,4.767361111111111
2009,Male,"(45,55]",lsocd,Combined,Playing with other peoples children,1196,0.461864406779661
2009,Male,"(45,55]",lsvol,Combined,Volunteer/Charity work,1196,0.8983548766157462
2009,Male,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1196,2.047604790419162
2009,Male,"(55,65]",lsemp,Combined,Paid employment,880,24.648430286241922
2009,Male,"(55,65]",lscom,Combined,Travelling to/from paid employment,880,2.8320821529745044
2009,Male,"(55,65]",lserr,Combined,Household errands,880,4.36780408542247
2009,Male,"(55,65]",lshw,Combined,Housework,880,6.756290174471992
2009,Male,"(55,65]",lsod,Combined,Outdoor tasks,880,6.866483767718336
2009,Male,"(55,65]",lschd,Combined,Playing with your children,880,1.2121212121212122
2009,Male,"(55,65]",lsocd,Combined,Playing with other peoples children,880,1.0335820895522387
2009,Male,"(55,65]",lsvol,Combined,Volunteer/Charity work,880,1.5375
2009,Male,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,880,2.2117117117117115
2009,Male,"(65,75]",lsemp,Combined,Paid employment,568,4.69661733615222
2009,Male,"(65,75]",lscom,Combined,Travelling to/from paid employment,568,0.4122340425531915
2009,Male,"(65,75]",lserr,Combined,Household errands,568,5.619122807017544
2009,Male,"(65,75]",lshw,Combined,Housework,568,7.911479944674966
2009,Male,"(65,75]",lsod,Combined,Outdoor tasks,568,9.481177275838467
2009,Male,"(65,75]",lschd,Combined,Playing with your children,568,0.3881856540084388
2009,Male,"(65,75]",lsocd,Combined,Playing with other peoples children,568,0.788543897216274
2009,Male,"(65,75]",lsvol,Combined,Volunteer/Charity work,568,2.414552501761804
2009,Male,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,568,1.8448275862068966
2009,Male,"(75,Inf]",lsemp,Combined,Paid employment,351,0.40234375
2009,Male,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,351,0.06325301204819277
2009,Male,"(75,Inf]",lserr,Combined,Household errands,351,5.034237726098191
2009,Male,"(75,Inf]",lshw,Combined,Housework,351,8.546025641025642
2009,Male,"(75,Inf]",lsod,Combined,Outdoor tasks,351,8.818181818181818
2009,Male,"(75,Inf]",lschd,Combined,Playing with your children,351,0.30039525691699603
2009,Male,"(75,Inf]",lsocd,Combined,Playing with other peoples children,351,0.6797900262467191
2009,Male,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,351,1.2730220492866406
2009,Male,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,351,2.095617529880478
2009,Female,"(15,25]",lsemp,Combined,Paid employment,1379,19.024264933457133
2009,Female,"(15,25]",lscom,Combined,Travelling to/from paid employment,1379,2.161414236437755
2009,Female,"(15,25]",lserr,Combined,Household errands,1379,2.870587316463605
2009,Female,"(15,25]",lshw,Combined,Housework,1379,6.709367283950617
2009,Female,"(15,25]",lsod,Combined,Outdoor tasks,1379,0.9707313245448839
2009,Female,"(15,25]",lschd,Combined,Playing with your children,1379,5.953911067835119
2009,Female,"(15,25]",lsocd,Combined,Playing with other peoples children,1379,0.7235179786200194
2009,Female,"(15,25]",lsvol,Combined,Volunteer/Charity work,1379,0.44436298468556534
2009,Female,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1379,0.2029268292682927
2009,Female,"(25,35]",lsemp,Combined,Paid employment,1134,24.333890126206384
2009,Female,"(25,35]",lscom,Combined,Travelling to/from paid employment,1134,2.690454716272078
2009,Female,"(25,35]",lserr,Combined,Household errands,1134,4.974879495736003
2009,Female,"(25,35]",lshw,Combined,Housework,1134,15.150662251655628
2009,Female,"(25,35]",lsod,Combined,Outdoor tasks,1134,2.2910514541387026
2009,Female,"(25,35]",lschd,Combined,Playing with your children,1134,20.47303065580132
2009,Female,"(25,35]",lsocd,Combined,Playing with other peoples children,1134,0.7426262626262626
2009,Female,"(25,35]",lsvol,Combined,Volunteer/Charity work,1134,0.6244510978043912
2009,Female,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1134,0.556128640776699
2009,Female,"(35,45]",lsemp,Combined,Paid employment,1268,24.612149826880707
2009,Female,"(35,45]",lscom,Combined,Travelling to/from paid employment,1268,2.748956326268465
2009,Female,"(35,45]",lserr,Combined,Household errands,1268,5.673022598870056
2009,Female,"(35,45]",lshw,Combined,Housework,1268,17.533956386292836
2009,Female,"(35,45]",lsod,Combined,Outdoor tasks,1268,3.1505867427846495
2009,Female,"(35,45]",lschd,Combined,Playing with your children,1268,17.413355943152453
2009,Female,"(35,45]",lsocd,Combined,Playing with other peoples children,1268,1.059662090813094
2009,Female,"(35,45]",lsvol,Combined,Volunteer/Charity work,1268,1.0896646132785763
2009,Female,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1268,1.4320855614973262
2009,Female,"(45,55]",lsemp,Combined,Paid employment,1273,26.245620667926907
2009,Female,"(45,55]",lscom,Combined,Travelling to/from paid employment,1273,2.9264285714285716
2009,Female,"(45,55]",lserr,Combined,Household errands,1273,5.846232985121874
2009,Female,"(45,55]",lshw,Combined,Housework,1273,16.322175405742822
2009,Female,"(45,55]",lsod,Combined,Outdoor tasks,1273,3.6415079365079364
2009,Female,"(45,55]",lschd,Combined,Playing with your children,1273,4.655030800821355
2009,Female,"(45,55]",lsocd,Combined,Playing with other peoples children,1273,1.3061767838125666
2009,Female,"(45,55]",lsvol,Combined,Volunteer/Charity work,1273,1.080438596491228
2009,Female,"(45,55]",lscar,Combined,Caring for disabled spouse/relative,1273,2.1369301994301995
2009,Female,"(55,65]",lsemp,Combined,Paid employment,933,14.518132328308207
2009,Female,"(55,65]",lscom,Combined,Travelling to/from paid employment,933,1.5466155810983397
2009,Female,"(55,65]",lserr,Combined,Household errands,933,5.76369574378424
2009,Female,"(55,65]",lshw,Combined,Housework,933,17.082811848143514
2009,Female,"(55,65]",lsod,Combined,Outdoor tasks,933,4.953750526759376
2009,Female,"(55,65]",lschd,Combined,Playing with your children,933,0.8460471567267683
2009,Female,"(55,65]",lsocd,Combined,Playing with other peoples children,933,3.1103174603174604
2009,Female,"(55,65]",lsvol,Combined,Volunteer/Charity work,933,1.7530653950953679
2009,Female,"(55,65]",lscar,Combined,Caring for disabled spouse/relative,933,3.5341997264021887
2009,Female,"(65,75]",lsemp,Combined,Paid employment,600,1.488933601609658
2009,Female,"(65,75]",lscom,Combined,Travelling to/from paid employment,600,0.09276406035665295
2009,Female,"(65,75]",lserr,Combined,Household errands,600,6.776951058201059
2009,Female,"(65,75]",lshw,Combined,Housework,600,20.187784275503574
2009,Female,"(65,75]",lsod,Combined,Outdoor tasks,600,5.128937007874016
2009,Female,"(65,75]",lschd,Combined,Playing with your children,600,0.3096707818930041
2009,Female,"(65,75]",lsocd,Combined,Playing with other peoples children,600,1.484787018255578
2009,Female,"(65,75]",lsvol,Combined,Volunteer/Charity work,600,2.2108316566063047
2009,Female,"(65,75]",lscar,Combined,Caring for disabled spouse/relative,600,2.4696356275303644
2009,Female,"(75,Inf]",lsemp,Combined,Paid employment,519,0.15730337078651685
2009,Female,"(75,Inf]",lscom,Combined,Travelling to/from paid employment,519,0.0339943342776204
2009,Female,"(75,Inf]",lserr,Combined,Household errands,519,5.225023877745941
2009,Female,"(75,Inf]",lshw,Combined,Housework,519,18.247214484679667
2009,Female,"(75,Inf]",lsod,Combined,Outdoor tasks,519,3.627502295684114
2009,Female,"(75,Inf]",lschd,Combined,Playing with your children,519,0.10985915492957747
2009,Female,"(75,Inf]",lsocd,Combined,Playing with other peoples children,519,0.211864406779661
2009,Female,"(75,Inf]",lsvol,Combined,Volunteer/Charity work,519,1.728813559322034
2009,Female,"(75,Inf]",lscar,Combined,Caring for disabled spouse/relative,519,1.9174264007597341
2010,Male,"(15,25]",lsemp,Combined,Paid employment,1453,25.270243824189926
2010,Male,"(15,25]",lscom,Combined,Travelling to/from paid employment,1453,2.921126302083333
2010,Male,"(15,25]",lserr,Combined,Household errands,1453,2.0800487804878047
2010,Male,"(15,25]",lshw,Combined,Housework,1453,3.607103825136612
2010,Male,"(15,25]",lsod,Combined,Outdoor tasks,1453,2.1966990291262136
2010,Male,"(15,25]",lschd,Combined,Playing with your children,1453,1.8619096509240247
2010,Male,"(15,25]",lsocd,Combined,Playing with other peoples children,1453,0.5092307692307693
2010,Male,"(15,25]",lsvol,Combined,Volunteer/Charity work,1453,0.5474358974358975
2010,Male,"(15,25]",lscar,Combined,Caring for disabled spouse/relative,1453,0.3562951496388029
2010,Male,"(25,35]",lsemp,Combined,Paid employment,1086,40.37392108508015
2010,Male,"(25,35]",lscom,Combined,Travelling to/from paid employment,1086,4.746422663358147
2010,Male,"(25,35]",lserr,Combined,Household errands,1086,3.285773366418528
2010,Male,"(25,35]",lshw,Combined,Housework,1086,5.889367816091954
2010,Male,"(25,35]",lsod,Combined,Outdoor tasks,1086,3.5779636513837256
2010,Male,"(25,35]",lschd,Combined,Playing with your children,1086,7.1286089238845145
2010,Male,"(25,35]",lsocd,Combined,Playing with other peoples children,1086,0.3326474622770919
2010,Male,"(25,35]",lsvol,Combined,Volunteer/Charity work,1086,0.6435185185185185
2010,Male,"(25,35]",lscar,Combined,Caring for disabled spouse/relative,1086,0.5524734165510865
2010,Male,"(35,45]",lsemp,Combined,Paid employment,1152,41.18224903812522
2010,Male,"(35,45]",lscom,Combined,Travelling to/from paid employment,1152,4.690351812366738
2010,Male,"(35,45]",lserr,Combined,Household errands,1152,3.5239406779661016
2010,Male,"(35,45]",lshw,Combined,Housework,1152,6.952568134171908
2010,Male,"(35,45]",lsod,Combined,Outdoor tasks,1152,4.890686274509804
2010,Male,"(35,45]",lschd,Combined,Playing with your children,1152,8.515374955148905
2010,Male,"(35,45]",lsocd,Combined,Playing with other peoples children,1152,0.4746078431372549
2010,Male,"(35,45]",lsvol,Combined,Volunteer/Charity work,1152,0.6822674418604651
2010,Male,"(35,45]",lscar,Combined,Caring for disabled spouse/relative,1152,0.6087470449172577
2010,Male,"(45,55]",lsemp,Combined,Paid employment,1205,39.53233830845771
